Date,Open,High,Low,Close,Adj Close,Volume
5/4/2018,141.100006,144.350006,140.279999,143.910004,137.4366,4402200
5/7/2018,144,144.320007,142.639999,143.220001,136.777649,3657000
5/8/2018,143,143.509995,142.059998,143,136.567566,5369100
5/9/2018,141.899994,143.020004,141.279999,142.610001,137.706985,4196000
5/10/2018,143.149994,144.330002,143.009995,144.240005,139.280945,3726600
5/11/2018,144.110001,144.850006,143.580002,144.139999,139.184387,3073200
5/14/2018,144.470001,145.119995,144.139999,144.300003,139.338882,3216100
5/15/2018,143.5,143.990005,142.919998,143.740005,138.798141,4089400
5/16/2018,143.699997,145.029999,143.270004,144.630005,139.657547,3168700
5/17/2018,144.5,145.190002,143.770004,144.5,139.532013,3147700
5/18/2018,144.470001,144.940002,143.990005,144.080002,139.12645,2682200
5/21/2018,144.949997,146.039993,144.679993,145.490005,140.487976,2894700
5/22/2018,145.520004,146.199997,145,145.089996,140.101715,2284000
5/23/2018,144.350006,144.699997,143.479996,144.669998,139.696167,3382000
5/24/2018,144.389999,144.479996,142.949997,144.070007,139.116806,3398700
5/25/2018,143.899994,144.570007,143.460007,143.639999,138.701569,4914300
5/29/2018,142.529999,142.889999,140.210007,141.220001,136.364777,4537600
5/30/2018,141.899994,143.100006,141.820007,142.619995,137.716629,5118500
5/31/2018,142.809998,142.809998,141.050003,141.309998,136.451675,6830300
6/1/2018,142.429993,142.839996,141.619995,141.949997,137.069672,3857500
6/4/2018,142.300003,143.169998,142.179993,143.039993,138.122192,3035300
6/5/2018,143.050003,144.080002,143.039993,143.699997,138.759506,2836000
6/6/2018,144.339996,144.720001,143.539993,144.710007,139.734787,3220100
6/7/2018,145,146.699997,144.929993,145.360001,140.362442,4316500
6/8/2018,145,146.429993,144.369995,146.139999,141.115616,5210500
6/11/2018,146.619995,147.410004,146.139999,146.580002,141.540497,3260000
6/12/2018,147.100006,147.520004,146.619995,146.869995,141.820511,2640500
6/13/2018,146.789993,147.470001,146.199997,146.350006,141.318405,2968200
6/14/2018,146.649994,146.979996,145.089996,145.199997,140.207932,3326300
6/15/2018,144.899994,145.470001,143.699997,145.389999,140.391388,9116000
6/18/2018,144.179993,144.520004,143.139999,144.479996,139.51268,4286400
6/19/2018,143.119995,144.220001,142.949997,143.899994,138.952621,3487000
6/20/2018,144.220001,144.520004,142.410004,142.630005,137.726303,3329900
6/21/2018,142.589996,143.139999,140.830002,141.25,136.393738,3887700
6/22/2018,141.639999,141.809998,140.779999,141.279999,136.422714,5611300
6/25/2018,140.399994,140.399994,138.279999,138.789993,134.018311,8937100
6/26/2018,139.360001,139.850006,138.330002,139.080002,134.29834,4139500
6/27/2018,139.110001,139.779999,137.449997,137.479996,132.753357,4101800
6/28/2018,138.100006,140.539993,137.949997,140.039993,135.225327,4523700
6/29/2018,140.320007,141.360001,139.610001,139.699997,134.897034,3710100
7/2/2018,138.279999,140.220001,138.199997,139.860001,135.051529,3405400
7/3/2018,140.649994,140.940002,139.369995,139.570007,134.7715,1963200
7/5/2018,140.479996,141.429993,139.929993,141.429993,136.567551,3744700
7/6/2018,141.529999,142.940002,141.169998,142.479996,137.581451,2849000
7/9/2018,142.589996,144.720001,142.470001,144.389999,139.425781,3904700
7/10/2018,144.509995,145.589996,144.259995,144.710007,139.734787,3777000
7/11/2018,144,146.190002,144,144.940002,139.956879,3526600
7/12/2018,145.850006,146.830002,145.740005,146.449997,141.414963,3119500
7/13/2018,146.449997,146.979996,145.800003,145.899994,140.883865,3062600
7/16/2018,145.669998,145.789993,144.210007,145.460007,140.459,3468800
7/17/2018,144.75,145,143.339996,143.490005,138.556717,5096700
7/18/2018,143.509995,144.800003,142.740005,144.520004,139.551315,6935300
7/19/2018,147.850006,150.539993,147.25,149.240005,144.109039,14655800
7/20/2018,148.580002,148.860001,146.259995,146.350006,141.318405,6414600
7/23/2018,146.350006,146.699997,145.009995,145.699997,140.690735,3897900
7/24/2018,146.699997,147.039993,145.919998,146.380005,141.347366,3891600
7/25/2018,146.009995,146.649994,145.5,146.619995,141.579102,3630900
7/26/2018,147.429993,149.270004,146.630005,146.710007,141.666031,4778000
7/27/2018,146.889999,147.139999,144.660004,145.149994,140.159653,3749300
